"Rank_name","Rank_Post","Rank_Name","Rank_Year","Rank_IMDbRating"
"25 ( 1)","https://m.media-amazon.com/images/M/MV5BNTA2ZGY4NWYtYmNlMy00MDA4LTgyMWYtNzQ5M2JkNGYxNzY1XkEyXkFqcGdeQXVyNjMxNzcwOTI@._V1_UY67_CR0,0,45,67_AL_.jpg","New Amsterdam","(2018)","8.0"
"26 ( 49)","https://m.media-amazon.com/images/M/MV5BMjU1OTU1MzkwNl5BMl5BanBnXkFtZTgwMDg2NzE0NjM@._V1_UY67_CR0,0,45,67_AL_.jpg","Daredevil","(2015)","8.7"
"27 ( 9)","https://m.media-amazon.com/images/M/MV5BNTEwYzNiMGUtNzRlYS00MTMzLTliNzgtOGUxZGZiNThlNWYwXkEyXkFqcGdeQXVyMjYwNDA2MDE@._V1_UY67_CR0,0,45,67_AL_.jpg","Black Mirror","(2011)","8.9"
"28 ( 1)","https://m.media-amazon.com/images/M/MV5BYTVhMmUwZTktMGJlZC00NDUyLWExYjktNDBkZTU3YjU0ODNiXkEyXkFqcGdeQXVyNzQ2NjI4MDM@._V1_UY67_CR0,0,45,67_AL_.jpg","Killing Eve","(2018)","8.4"
"29 ( 14)","https://m.media-amazon.com/images/M/MV5BMTk1MjYzOTU2Nl5BMl5BanBnXkFtZTgwMzAxMTg5MTE@._V1_UY67_CR0,0,45,67_AL_.jpg","Suits","(2011)","8.6"
"30 ( 28)","https://m.media-amazon.com/images/M/MV5BNGE2ZmFkZTYtNjRiOS00ZjE3LThjOWMtZTViZjRmNDFjNTQwXkEyXkFqcGdeQXVyNjg4NzAyOTA@._V1_UX45_CR0,0,45,67_AL_.jpg","Criminal Minds","(2005)","8.1"
"31 ( 82)","https://m.media-amazon.com/images/M/MV5BMzkwNzU0MTYwNV5BMl5BanBnXkFtZTgwMzU4NzAzNjM@._V1_UX45_CR0,0,45,67_AL_.jpg","The Man in the High Castle","(2015)","8.1"
"32 ( 18)","https://m.media-amazon.com/images/M/MV5BMjA1MTQxMzU4NV5BMl5BanBnXkFtZTgwNTcwNDIxNjM@._V1_UY67_CR0,0,45,67_AL_.jpg","Last Man Standing","(2011)","7.6"
"33 ( 190)","https://m.media-amazon.com/images/M/MV5BMTcyNTk0ODgzOF5BMl5BanBnXkFtZTgwMzM0NjIzMzI@._V1_UY67_CR0,0,45,67_AL_.jpg","Big Mouth","(2017)","8.0"
"34 ( 1)","https://m.media-amazon.com/images/M/MV5BMjAyNzkxOTU5MF5BMl5BanBnXkFtZTgwMTk1OTYzNjM@._V1_UY67_CR4,0,45,67_AL_.jpg","Supernatural","(2005)","8.5"
"35 ( 17)","https://m.media-amazon.com/images/M/MV5BNzBhOGVhNmUtNGIwNy00YmQ5LWEzMDQtNWI5Njc5YmUyMzAxXkEyXkFqcGdeQXVyMjYwNDA2MDE@._V1_UX45_CR0,0,45,67_AL_.jpg","Magnum P.I.","(2018)","4.8"
"36 ( 27)","https://m.media-amazon.com/images/M/MV5BOTQ2YmU5YWYtYTdhMS00YjdmLThlMWMtMWVkZGVmNTVhOWE0XkEyXkFqcGdeQXVyODEyMzI2OTE@._V1_UY67_CR0,0,45,67_AL_.jpg","Bodyguard","(2018)","8.4"
"37 ( 1)","https://m.media-amazon.com/images/M/MV5BYjU1YTY1YzItNmQyYS00MWRkLWFiOGItYjM4ZGJiYTkxMDg2XkEyXkFqcGdeQXVyODUxOTU0OTg@._V1_UY67_CR0,0,45,67_AL_.jpg","Law & Order: Special Victims Unit","(1999)","8.0"
"38 ( 3)","https://m.media-amazon.com/images/M/MV5BYmJmNDM4NzAtMWViMy00MDU0LWI5M2YtNzYxY2VlMTBiODM5XkEyXkFqcGdeQXVyNjg4NzAyOTA@._V1_UX45_CR0,0,45,67_AL_.jpg","NCIS","(2003)","7.9"
"39 ( 10)","https://m.media-amazon.com/images/M/MV5BNDc3NzQxODAwOV5BMl5BanBnXkFtZTgwODkwMjU2MzI@._V1_UY67_CR0,0,45,67_AL_.jpg","Brooklyn Nine-Nine","(2013)","8.4"
"40 ( 1)","https://m.media-amazon.com/images/M/MV5BOGE2YWUzMDItNTg2Ny00NTUzLTlmZGYtNWMyNzVjMjQ3MThkXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UY67_CR0,0,45,67_AL_.jpg","South Park","(1997)","8.7"
"41 ( 88)","https://m.media-amazon.com/images/M/MV5BMTk3NTYxMjM4OF5BMl5BanBnXkFtZTgwNzMzNjY0NjM@._V1_UY67_CR0,0,45,67_AL_.jpg","Chilling Adventures of Sabrina","(2018)",""
"42 ( 1)","https://m.media-amazon.com/images/M/MV5BMTgzNjAzMDE0NF5BMl5BanBnXkFtZTcwNTEyMzM3OA@@._V1_UY67_CR2,0,45,67_AL_.jpg","The Office","(2005)","8.8"
